ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,u_mag,g_mag,r_mag,i_mag,z_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag
81822484136659008,-53.134469907507025,-95.79082903038766,109.54093673751998,-0.5434524454277639,1.06442714958835,4.675305712163481,248.41365729,-21.80944528,-99.0,0.0,14.5792,0.0,0.0,0.0,0.0,0.0
81112488284076224,37.030978218444375,42.53310584290137,56.425972942964,1.48635517398626,3.9964404001808704,3.77310008098498,248.82837954,-22.40345592,-99.0,0.0,15.0868,0.0,0.0,0.0,0.0,0.0
108002230460018864,10.821589617532254,44.87918142679618,46.161190650892,3.49458166080409,4.475916076117009,5.301850891866669,223.04597,0.00701725,-99.0,18.1081008911133,17.4566993713379,17.2152996063232,17.1033000946045,17.522419,17.984789000000003,16.861828
108402231319586768,30.59930522868752,-32.35571694350946,44.50957653684879,1.41407407181148,2.32899260475786,5.3682667742331995,223.13194,0.3386229,-99.0,18.11669921875,17.4598999023438,17.1602001190186,17.0109004974365,17.497695999999998,17.995373,16.795214
105261759934606528,-5.8296483658783,-15.610477785155195,16.656406685873197,1.5984980727277198,1.21321768222872,0.385280390498999,175.99341,-2.2782965,-99.0,17.1000003814697,16.7406005859375,16.6149005889893,16.5837993621826,16.767763000000002,17.090134,16.278666
105271761451277664,29.357010312020165,-17.888307879231146,34.3664198421948,1.31887226878672,2.59541601738251,5.00664155858379,176.14511000000002,-2.2690048,-99.0,17.2318000793457,16.8931999206543,16.7670993804932,16.7362995147705,16.911673999999998,17.234312,16.423182999999998
110862128529814288,-125.2158266891123,88.96689675220837,153.596396568493,-0.34259330605896504,-0.617757335909333,0.275164029850369,212.85297000000003,2.38651,-99.0,16.8295993804932,16.4778003692627,16.3607006072998,16.3320007324219,16.505651,16.818676,16.030489000000003
110642131024163920,-66.48236291713903,131.92783860449256,147.720141977362,0.145421812205482,-1.1042590240443502,1.2496808362498302,213.10242000000002,2.2029072999999997,-99.0,16.8465995788574,16.468999862670902,16.305599212646502,16.250900268554698,16.487972,16.839733,15.972295
901005481400622,-43.95147833003192,17.40644646769377,47.265263391344796,-0.5488893191012899,-0.37705838478325204,6.11135437286155,301.9875126991,-56.6946665455,-99.0,0.0,16.83,0.0,0.0,0.0,0.0,0.0
901005561005337,-95.62974482434149,-2.5026037363272184,95.63786094284,5.426428948755911,0.026477127656809,5.3999518210991,301.5880854138,-56.6062193445,-99.0,0.0,16.88,0.0,0.0,0.0,0.0,0.0
107741753810259344,122.26779398136564,3.1575333442743463,122.304210939492,4.132907460331279,3.16736027608949,0.965547184241785,175.38097,-0.2092574,-99.0,16.5569000244141,16.1917991638184,16.0608997344971,16.0373001098633,16.217354,16.542048,15.72614
107561746107786528,-57.90322885556395,38.79610312930123,69.6600078405286,-0.5690670114895621,-0.5903297821353721,0.0212627706458104,174.61073000000002,-0.3615941,-99.0,16.5076999664307,16.1429004669189,16.0200996398926,16.011699676513697,16.176182,16.505786999999998,15.680272
110632231839167120,57.546451702851236,15.67675451875283,59.6362200343927,3.68711816197307,3.40752252084605,0.27959564112701696,223.18396,2.1972342,-99.0,16.917499542236303,16.5421009063721,16.4176006317139,16.3761005401611,16.572117000000002,16.923302,16.061676000000002
110692229007324800,-8.36429255858974,4.620464055248363,9.51684235765729,-0.519076258669251,-0.504627943264532,6.26873699177487,222.90072999999998,2.2452936,-99.0,16.8006000518799,16.4204006195068,16.3031005859375,16.2865009307861,16.45014,16.790504000000002,15.957357
